food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,419,gram,1622,0,418.92,0,0,0,0,0,418.62,4,0.04,8,0,0
đường,gia vị,420,gram,1625,0,419.92,0,0,0,0,0,419.62,4,0.04,8,0,0
đường,gia vị,421,gram,1629,0,420.92,0,0,0,0,0,420.62,4,0.04,8,0,0
đường,gia vị,423,gram,1637,0,422.92,0,0,0,0,0,422.62,4,0.04,8,0,0
đường,gia vị,425,gram,1645,0,424.92,0,0,0,0,0,424.62,4,0.04,8,0,0
đường,gia vị,429,gram,1660,0,428.91,0,0,0,0,0,428.61,4,0.04,9,0,0
đường,gia vị,430,gram,1664,0,429.91,0,0,0,0,0,429.61,4,0.04,9,0,0
đường,gia vị,431,gram,1668,0,430.91,0,0,0,0,0,430.61,4,0.04,9,0,0
đường,gia vị,433,gram,1676,0,432.91,0,0,0,0,0,432.61,4,0.04,9,0,0
đường,gia vị,435,gram,1683,0,434.91,0,0,0,0,0,434.61,4,0.04,9,0,0
đường,gia vị,439,gram,1699,0,438.91,0,0,0,0,0,438.6,4,0.04,9,0,0
đường,gia vị,440,gram,1703,0,439.91,0,0,0,0,0,439.6,4,0.04,9,0,0
đường,gia vị,441,gram,1707,0,440.91,0,0,0,0,0,440.6,4,0.04,9,0,0
đường,gia vị,443,gram,1714,0,442.91,0,0,0,0,0,442.6,4,0.04,9,0,0
đường,gia vị,445,gram,1722,0,444.91,0,0,0,0,0,444.6,4,0.04,9,0,0
đường,gia vị,449,gram,1738,0,448.91,0,0,0,0,0,448.6,4,0.04,9,0,0
đường,gia vị,450,gram,1742,0,449.91,0,0,0,0,0,449.6,4,0.04,9,0,0
đường,gia vị,431,gram,1668,0,430.91,0,0,0,0,0,430.61,4,0.04,9,0,0
đường,gia vị,433,gram,1676,0,432.91,0,0,0,0,0,432.61,4,0.04,9,0,0
đường,gia vị,435,gram,1683,0,434.91,0,0,0,0,0,434.61,4,0.04,9,0,0
đường,gia vị,439,gram,1699,0,438.91,0,0,0,0,0,438.6,4,0.04,9,0,0
đường,gia vị,440,gram,1703,0,439.91,0,0,0,0,0,439.6,4,0.04,9,0,0
đường,gia vị,441,gram,1707,0,440.91,0,0,0,0,0,440.6,4,0.04,9,0,0
đường,gia vị,443,gram,1714,0,442.91,0,0,0,0,0,442.6,4,0.04,9,0,0
đường,gia vị,445,gram,1722,0,444.91,0,0,0,0,0,444.6,4,0.04,9,0,0
đường,gia vị,449,gram,1738,0,448.91,0,0,0,0,0,448.6,4,0.04,9,0,0
đường,gia vị,450,gram,1742,0,449.91,0,0,0,0,0,449.6,4,0.04,9,0,0
đường,gia vị,451,gram,1745,0,450.91,0,0,0,0,0,450.59,5,0.05,9,0,0
đường,gia vị,453,gram,1753,0,452.91,0,0,0,0,0,452.59,5,0.05,9,0,0
đường,gia vị,455,gram,1761,0,454.91,0,0,0,0,0,454.59,5,0.05,9,0,0
đường,gia vị,459,gram,1776,0,458.91,0,0,0,0,0,458.59,5,0.05,9,0,0
đường,gia vị,460,gram,1780,0,459.91,0,0,0,0,0,459.59,5,0.05,9,0,0
đường,gia vị,461,gram,1784,0,460.91,0,0,0,0,0,460.59,5,0.05,9,0,0
đường,gia vị,463,gram,1792,0,462.91,0,0,0,0,0,462.58,5,0.05,9,0,0
đường,gia vị,465,gram,1800,0,464.91,0,0,0,0,0,464.58,5,0.05,9,0,0
đường,gia vị,469,gram,1815,0,468.91,0,0,0,0,0,468.58,5,0.05,9,0,0
đường,gia vị,470,gram,1819,0,469.91,0,0,0,0,0,469.58,5,0.05,9,0,0
đường,gia vị,471,gram,1823,0,470.91,0,0,0,0,0,470.58,5,0.05,9,0,0
đường,gia vị,473,gram,1831,0,472.91,0,0,0,0,0,472.57,5,0.05,9,0,0
đường,gia vị,475,gram,1838,0,474.9,0,0,0,0,0,474.57,5,0.05,10,0,0
đường,gia vị,479,gram,1854,0,478.9,0,0,0,0,0,478.57,5,0.05,10,0,0
đường,gia vị,480,gram,1858,0,479.9,0,0,0,0,0,479.57,5,0.05,10,0,0
đường,gia vị,481,gram,1861,0,480.9,0,0,0,0,0,480.57,5,0.05,10,0,0
đường,gia vị,483,gram,1869,0,482.9,0,0,0,0,0,482.57,5,0.05,10,0,0
đường,gia vị,485,gram,1877,0,484.9,0,0,0,0,0,484.56,5,0.05,10,0,0
đường,gia vị,489,gram,1892,0,488.9,0,0,0,0,0,488.56,5,0.05,10,0,0
đường,gia vị,490,gram,1896,0,489.9,0,0,0,0,0,489.56,5,0.05,10,0,0
đường,gia vị,491,gram,1900,0,490.9,0,0,0,0,0,490.56,5,0.05,10,0,0
đường,gia vị,493,gram,1908,0,492.9,0,0,0,0,0,492.56,5,0.05,10,0,0
đường,gia vị,495,gram,1916,0,494.9,0,0,0,0,0,494.55,5,0.05,10,0,0
đường,gia vị,499,gram,1931,0,498.9,0,0,0,0,0,498.55,5,0.05,10,0,0
đường,gia vị,500,gram,1935,0,499.9,0,0,0,0,0,499.55,5,0.05,10,0,0
đường,gia vị,501,gram,1939,0,500.9,0,0,0,0,0,500.55,5,0.05,10,0,0
đường,gia vị,503,gram,1947,0,502.9,0,0,0,0,0,502.55,5,0.05,10,0,0
đường,gia vị,505,gram,1954,0,504.9,0,0,0,0,0,504.55,5,0.05,10,0,0
đường,gia vị,509,gram,1970,0,508.9,0,0,0,0,0,508.54,5,0.05,10,0,0
đường,gia vị,510,gram,1974,0,509.9,0,0,0,0,0,509.54,5,0.05,10,0,0
đường,gia vị,511,gram,1978,0,510.9,0,0,0,0,0,510.54,5,0.05,10,0,0
